task_id,left_status,right_status,binary_mismatch,reason_family,pair_failure_stage,pair_failure_origin,left_normalized_status,right_normalized_status,left_failure_reason,right_failure_reason,normalized_reason_mismatch,left_failure_stage,right_failure_stage,normalized_stage_mismatch,left_failure_origin,right_failure_origin,left_notes,right_notes
vbm1_barrel_pointer_window_bugfix,FAIL_DUT_COMPILE,FAIL_SIM_CORRECTNESS,False,conditional_transition_semantics,source_semantics_preflight,dut_source,FAIL,FAIL,conditional_transition_semantics,checker_behavior_failure,True,source_semantics_preflight,behavior_check,True,dut_source,candidate_behavior,"contract_save_pruned=removed:1,inserted:1,signals:6 | spectre_strict:preflight_pass | returncode=1 | ERROR: Failed to compile Verilog-A file barrel_pointer_window.va: Spectre-incompatible Verilog-A: transition() contribution is inside a conditional/event/loop/case statement | tran.csv missing","contract_save_pruned=removed:1,inserted:1,signals:6 | spectre_strict:preflight_pass | spectre_csv_rows=297 cols=7 | count_range=(0, 0)"
vbm1_debounce_latch_e2e,FAIL_TB_COMPILE,FAIL_DUT_COMPILE,False,tb_source_or_netlist_parse,tb_source_parse,testbench_source,FAIL,FAIL,tb_source_or_netlist_parse,conditional_transition_semantics,True,tb_source_parse,source_semantics_preflight,True,testbench_source,dut_source,"contract_save_pruned=removed:1,inserted:1,signals:3 | generated_include=debounce_latch.va | spectre_strict:uncontinued_multiline_source=10:Vrst (rst_n 0) vsource type=pwl wave=[,21:Vsig (sig 0) vsource type=pwl wave=[ | spectre_strict:conditional_transition=debounce_latch.va","contract_save_pruned=removed:1,inserted:1,signals:3 | generated_include=debounce_latch.va | spectre_strict:conditional_transition=debounce_latch.va | spectre_data_missing_time | spectre_returncode=2"
vbm1_first_order_lowpass_bugfix,FAIL_SIM_CORRECTNESS,FAIL_DUT_COMPILE,False,unsupported_or_nonstandard_symbol,source_unsupported_symbol,dut_source,FAIL,FAIL,unsupported_or_nonstandard_symbol,unsupported_or_nonstandard_symbol,False,source_unsupported_symbol,source_unsupported_symbol,False,dut_source,dut_source,"contract_save_pruned=removed:1,inserted:1,signals:2 | spectre_strict:preflight_pass | returncode=1 | evas_runtime_error=KeyError: 'abstime' | KeyError: 'abstime' | tran.csv missing","contract_save_pruned=removed:1,inserted:1,signals:2 | spectre_strict:preflight_pass | spectre_data_missing_time | spectre_returncode=2"
vbm1_first_order_lowpass_dut,FAIL_SIM_CORRECTNESS,FAIL_DUT_COMPILE,False,unsupported_or_nonstandard_symbol,source_unsupported_symbol,dut_source,FAIL,FAIL,unsupported_or_nonstandard_symbol,dut_compile_or_elaboration_failure,True,source_unsupported_symbol,compile_or_elaboration,True,dut_source,dut_source,"contract_save_pruned=removed:1,inserted:1,signals:2 | spectre_strict:preflight_pass | returncode=1 | evas_runtime_error=KeyError: '$abstime_step' | KeyError: '$abstime_step' | tran.csv missing","contract_save_pruned=removed:1,inserted:1,signals:2 | spectre_strict:preflight_pass | spectre_data_missing_time | spectre_returncode=2"
vbm1_first_order_lowpass_e2e,FAIL_SIM_CORRECTNESS,FAIL_DUT_COMPILE,False,unsupported_or_nonstandard_symbol,source_unsupported_symbol,dut_source,FAIL,FAIL,unsupported_or_nonstandard_symbol,dut_compile_or_elaboration_failure,True,source_unsupported_symbol,compile_or_elaboration,True,dut_source,dut_source,generated_include=first_order_lowpass.va | spectre_strict:preflight_pass | returncode=1 | evas_runtime_error=KeyError: '$abstime_step' | KeyError: '$abstime_step' | tran.csv missing,"contract_save_pruned=removed:1,inserted:1,signals:2 | generated_include=first_order_lowpass.va | spectre_strict:preflight_pass | spectre_data_missing_time | spectre_returncode=2"
vbm1_offset_comparator_e2e,FAIL_TB_COMPILE,FAIL_DUT_COMPILE,False,tb_source_or_netlist_parse,tb_source_parse,testbench_source,FAIL,FAIL,tb_source_or_netlist_parse,dut_compile_or_elaboration_failure,True,tb_source_parse,compile_or_elaboration,True,testbench_source,dut_source,generated_include=cmp_offset_ref.va | spectre_strict:preflight_pass | returncode=1 | ERROR: Invalid source VINP: VINP: PWL wave must contain at least one time/value pair | ERROR: Invalid source VINN: VINN: PWL wave must contain at least one time/value pair | tran.csv missing,"contract_save_pruned=removed:1,inserted:1,signals:4 | generated_include=cmp_offset_ref.va | spectre_strict:preflight_pass | spectre_data_missing_time | spectre_returncode=2"
vbm1_one_shot_timer_e2e,FAIL_TB_COMPILE,FAIL_DUT_COMPILE,False,tb_source_or_netlist_parse,tb_source_parse,testbench_source,FAIL,FAIL,tb_source_or_netlist_parse,tb_source_or_netlist_parse,False,tb_source_parse,tb_source_parse,False,testbench_source,testbench_source,"contract_save_pruned=removed:1,inserted:1,signals:3 | generated_include=one_shot_timer.va | spectre_strict:unsupported_tb_directives=13:curly_block,14:curly_block,17:curly_block,18:curly_block,21:curly_block,22:curly_block,25:curly_block,26:curly_block | spectre_strict:uncontinued_multiline_source=10:Vtrig (trig 0) vsource type=pwl wave=[,36:Vrst (rst_n 0) vsource type=pwl wave=[ | spectre_strict:conditional_transition=one_shot_timer.va","contract_save_pruned=removed:1,inserted:1,signals:3 | generated_include=one_shot_timer.va | spectre_strict:unsupported_tb_directives=13:curly_block,14:curly_block,17:curly_block,18:curly_block,21:curly_block,22:curly_block,25:curly_block,26:curly_block | spectre_strict:conditional_transition=one_shot_timer.va | spectre_data_missing_time | spectre_returncode=2"
vbm1_resettable_integrator_bugfix,FAIL_SIM_CORRECTNESS,FAIL_DUT_COMPILE,False,unsupported_or_nonstandard_symbol,source_unsupported_symbol,dut_source,FAIL,FAIL,unsupported_or_nonstandard_symbol,unsupported_or_nonstandard_symbol,False,source_unsupported_symbol,source_unsupported_symbol,False,dut_source,dut_source,"contract_save_pruned=removed:1,inserted:1,signals:3 | spectre_strict:preflight_pass | returncode=1 | evas_runtime_error=KeyError: '$abstime_step' | KeyError: '$abstime_step' | tran.csv missing","contract_save_pruned=removed:1,inserted:1,signals:3 | spectre_strict:preflight_pass | spectre_data_missing_time | spectre_returncode=2"
vbm1_resettable_integrator_dut,FAIL_SIM_CORRECTNESS,FAIL_DUT_COMPILE,False,unsupported_or_nonstandard_symbol,source_unsupported_symbol,dut_source,FAIL,FAIL,unsupported_or_nonstandard_symbol,unsupported_or_nonstandard_symbol,False,source_unsupported_symbol,source_unsupported_symbol,False,dut_source,dut_source,"contract_save_pruned=removed:1,inserted:1,signals:3 | spectre_strict:preflight_pass | returncode=1 | evas_runtime_error=KeyError: '$abstime_step' | KeyError: '$abstime_step' | tran.csv missing","contract_save_pruned=removed:1,inserted:1,signals:3 | spectre_strict:preflight_pass | spectre_data_missing_time | spectre_returncode=2"
vbm1_resettable_integrator_e2e,FAIL_SIM_CORRECTNESS,FAIL_DUT_COMPILE,False,unsupported_or_nonstandard_symbol,source_unsupported_symbol,dut_source,FAIL,FAIL,unsupported_or_nonstandard_symbol,unsupported_or_nonstandard_symbol,False,source_unsupported_symbol,source_unsupported_symbol,False,dut_source,dut_source,generated_include=resettable_integrator.va | spectre_strict:preflight_pass | returncode=1 | evas_runtime_error=KeyError: '$abstime_step' | KeyError: '$abstime_step' | tran.csv missing,"contract_save_pruned=removed:1,inserted:1,signals:3 | generated_include=resettable_integrator.va | spectre_strict:preflight_pass | spectre_data_missing_time | spectre_returncode=2"
vbm1_track_hold_aperture_e2e,FAIL_TB_COMPILE,FAIL_DUT_COMPILE,False,tb_source_or_netlist_parse,tb_source_parse,testbench_source,FAIL,FAIL,tb_source_or_netlist_parse,dut_compile_or_elaboration_failure,True,tb_source_parse,compile_or_elaboration,True,testbench_source,dut_source,"contract_save_pruned=removed:1,inserted:1,signals:3 | generated_include=sample_hold_aperture_ref.va | spectre_strict:preflight_pass | returncode=1 | ERROR: Invalid source Vvin: Vvin: PWL wave must contain at least one time/value pair | tran.csv missing","contract_save_pruned=removed:1,inserted:1,signals:3 | generated_include=sample_hold_aperture_ref.va | spectre_strict:preflight_pass | spectre_data_missing_time | spectre_returncode=2"
vbm1_voltage_clamp_dut,FAIL_TB_COMPILE,FAIL_DUT_COMPILE,False,interface_source_drive,interface_preflight,interface_contract,FAIL,FAIL,interface_source_drive,interface_source_drive,False,interface_preflight,interface_preflight,False,interface_contract,interface_contract,"contract_save_pruned=removed:1,inserted:1,signals:2 | generated_dut_staged_as=dut.va | spectre_strict:sourced_port_voltage_drive=10:XDUT:voltage_clamp:clamped_level->vdd","contract_save_pruned=removed:1,inserted:1,signals:2 | generated_dut_staged_as=dut.va | spectre_strict:sourced_port_voltage_drive=10:XDUT:voltage_clamp:clamped_level->vdd | spectre_data_missing_time | spectre_returncode=2"
