batch,risk,entry_id,level,category,base_function,forms,certification,representative_form,prompt_preview,gold_modules,checker_focus,risk_reason,human_review_question,next_action_preference
A Data converters,P1,vbr1_l2_converter_static_linearity_measurement_flow,L2,Data Converter Models,Converter static linearity measurement flow,"e2e,tb",certified,e2e,"- Form: `e2e` - Level: `L2` - Category: Data Converter Models - Base function: Converter static linearity measurement flow - Domain: `voltage` - Target artifact(s): `converter_static_linearity_measurement_flow.va`, `tb_converter_static_linearity_measurement_fl...",converter_static_linearity_measurement_flow,"sim_correct, metric, compile, spectre",L2 composition task requires manual verification that multiple functions really interact.,"Confirm this is a composed circuit flow, not a renamed L1 kernel or single-module smoke.",review in first two batches; strengthen checker or downgrade claim
A Data converters,P1,vbr1_l2_flash_adc_mini_array,L2,Data Converter Models,Flash ADC mini-array,"e2e,tb",certified,e2e,"- Form: `e2e` - Level: `L2` - Category: Data Converter Models - Base function: Flash ADC mini-array - Domain: `voltage` - Target artifact(s): `flash_adc_3b.va`, `tb_flash_adc_3b_ref.scs` - Visible context: public task, interface, artifact, stimulus, and observ...",flash_adc_3b,"sim_correct, compile",L2 composition task requires manual verification that multiple functions really interact.,"Confirm this is a composed circuit flow, not a renamed L1 kernel or single-module smoke.",review in first two batches; strengthen checker or downgrade claim
A Data converters,P1,vbr1_l2_pipeline_adc_chain,L2,Data Converter Models,Pipeline ADC residue chain,"e2e,tb",certified,e2e,"- Form: `e2e` - Level: `L2` - Category: Data Converter Models - Base function: Pipeline ADC residue chain - Domain: `voltage` - Target artifact(s): `pipeline_adc_chain_4b.va`, `tb_pipeline_adc_chain_4b_ref.scs` - Visible context: public task, interface, artifa...",pipeline_adc_chain_4b,"sim_correct, compile, spectre",L2 composition task requires manual verification that multiple functions really interact.,"Confirm this is a composed circuit flow, not a renamed L1 kernel or single-module smoke.",review in first two batches; strengthen checker or downgrade claim
A Data converters,P1,vbr1_l2_weighted_sar_adc_dac_loop,L2,Data Converter Models,Weighted SAR ADC/DAC loop,"e2e,tb",certified,e2e,"- Form: `e2e` - Level: `L2` - Category: Data Converter Models - Base function: Weighted SAR ADC/DAC loop - Domain: `voltage` - Target artifact(s): `dac_weighted_8b.va`, `sar_adc_weighted_8b.va`, `sh_ideal.va`, `tb_sar_adc_dac_weighted_8b_ref.scs`","dac_weighted_8b, sar_adc_weighted_8b, sh_ideal","sim_correct, behavior, compile, spectre",L2 composition task requires manual verification that multiple functions really interact.,"Confirm this is a composed circuit flow, not a renamed L1 kernel or single-module smoke.",review in first two batches; strengthen checker or downgrade claim
E Measurement and TB,P1,vbr1_l1_crossing_metric_writer,L1,Measurement Instrumentation Flows,Crossing metric writer,"dut,e2e,tb",certified,dut,- Form: `dut` - Level: `L1` - Category: Measurement Instrumentation Flows - Base function: Crossing metric writer - Domain: `voltage` - Target artifact(s): `file_metric_writer.va` - Supplied/reference support artifact(s): `tb_file_metric_writer_ref.scs`,file_metric_writer,"sim_correct, behavior, metric, waveform, compile",content_denominator_excluded_entry/entry: entry remains in the package as traceable material but is excluded from strong content claims,"Review prompt, checker, and gold together and tighten the public observable if the checker is weaker than the task statement.",review in first two batches; strengthen checker or downgrade claim
E Measurement and TB,P1,vbr1_l1_edge_interval_timer,L1,Measurement Instrumentation Flows,Edge interval timer,"e2e,tb",certified,e2e,"- Form: `e2e` - Level: `L1` - Category: Measurement Instrumentation Flows - Base function: Edge interval timer - Domain: `voltage` - Target artifact(s): `cross_interval_163p333_ref.va`, `tb_cross_interval_163p333_ref.scs`",cross_interval_163p333_ref,"sim_correct, waveform, compile",content_denominator_excluded_entry/entry: entry remains in the package as traceable material but is excluded from strong content claims,"Review prompt, checker, and gold together and tighten the public observable if the checker is weaker than the task statement.",review in first two batches; strengthen checker or downgrade claim
E Measurement and TB,P1,vbr1_l1_gain_estimator,L1,Measurement Instrumentation Flows,Gain estimator,"e2e,tb",certified,e2e,"- Form: `e2e` - Level: `L1` - Category: Measurement Instrumentation Flows - Base function: Gain estimator - Domain: `voltage` - Target artifact(s): `gain_estimator.va`, `tb_gain_estimator_ref.scs` - Visible context: public task, interface, artifact, stimulus, ...",gain_estimator,"sim_correct, waveform, compile, spectre",content_denominator_excluded_entry/entry: entry remains in the package as traceable material but is excluded from strong content claims,"Review prompt, checker, and gold together and tighten the public observable if the checker is weaker than the task statement.",review in first two batches; strengthen checker or downgrade claim
E Measurement and TB,P1,vbr1_l1_peak_detector,L1,Measurement Instrumentation Flows,Peak detector,"bugfix,dut,e2e,tb",certified,dut,- Form: `dut` - Level: `L1` - Category: Measurement Instrumentation Flows - Base function: Peak detector - Domain: `voltage` - Target artifact(s): `peak_detector.va` - Supplied/reference support artifact(s): `tb_peak_detector_ref.scs`,peak_detector,"sim_correct, compile",content_denominator_excluded_entry/entry: entry remains in the package as traceable material but is excluded from strong content claims,"Review prompt, checker, and gold together and tighten the public observable if the checker is weaker than the task statement.",review in first two batches; strengthen checker or downgrade claim
E Measurement and TB,P1,vbr1_l1_settling_time_detector,L1,Measurement Instrumentation Flows,Settling response measurement helper,"e2e,tb",certified,e2e,"- Form: `e2e` - Level: `L1` - Category: Measurement Instrumentation Flows - Base function: Settling response measurement helper - Domain: `voltage` - Target artifact(s): `settling_time_measurement_tb.va`, `tb_settling_time_measurement_tb_ref.scs`",settling_time_measurement_tb,"sim_correct, behavior, compile",content_denominator_excluded_entry/entry: entry remains in the package as traceable material but is excluded from strong content claims,"Review prompt, checker, and gold together and tighten the public observable if the checker is weaker than the task statement.",review in first two batches; strengthen checker or downgrade claim
E Measurement and TB,P1,vbr1_l2_gain_extraction_convergence_measurement_flow,L2,Measurement Instrumentation Flows,Dithered differential gain extraction flow,"e2e,tb",certified,e2e,"- Form: `e2e` - Level: `L2` - Category: Measurement Instrumentation Flows - Base function: Dithered differential gain extraction flow - Domain: `voltage` - Target artifact(s): `dither_adder.va`, `gain_amp_fixed.va`, `lfsr.va`, `tb_gain_extraction_ref.scs`, `vi...","dither_adder, gain_amp_fixed, lfsr, vin_src","sim_correct, compile, spectre",content_denominator_excluded_entry/entry: entry remains in the package as traceable material but is excluded from strong content claims,"Review prompt, checker, and gold together and tighten the public observable if the checker is weaker than the task statement.",review in first two batches; strengthen checker or downgrade claim
E Measurement and TB,P1,vbr1_l2_measurement_flow,L2,Measurement Instrumentation Flows,Measurement flow,"e2e,tb",certified,e2e,"- Form: `e2e` - Level: `L2` - Category: Measurement Instrumentation Flows - Base function: Measurement flow - Domain: `voltage` - Target artifact(s): `final_step_file_metric_ref.va`, `tb_final_step_file_metric_ref.scs` - Visible context: public task, interface...",final_step_file_metric_ref,"sim_correct, behavior, metric, waveform, compile",content_denominator_excluded_entry/entry: entry remains in the package as traceable material but is excluded from strong content claims,"Review prompt, checker, and gold together and tighten the public observable if the checker is weaker than the task statement.",review in first two batches; strengthen checker or downgrade claim
B Clocking and PLL,P3,vbr1_l1_bang_bang_phase_detector,L1,PLL Clock and Timing Systems,Bang-bang phase detector,"bugfix,dut,e2e,tb",certified,dut,- Form: `dut` - Level: `L1` - Category: PLL Clock and Timing Systems - Base function: Bang-bang phase detector - Domain: `voltage` - Target artifact(s): `bbpd_ref.va` - Supplied/reference support artifact(s): `tb_bbpd_ref.scs`,bbpd_ref,"sim_correct, compile, spectre","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
B Clocking and PLL,P3,vbr1_l1_clock_divider,L1,PLL Clock and Timing Systems,Clock divider,"bugfix,dut,e2e,tb",certified,dut,"- Form: `dut` - Level: `L1` - Category: PLL Clock and Timing Systems - Base function: Clock divider - Domain: `voltage` - Target artifact(s): `clk_divider.va`, `clk_divider_ref.va` - Supplied/reference support artifact(s): `tb_clk_divider_ref.scs`","clk_divider, clk_divider_ref","sim_correct, compile","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
B Clocking and PLL,P3,vbr1_l1_digital_phase_accumulator_with_modulo_wrap,L1,PLL Clock and Timing Systems,Digital phase accumulator with modulo wrap,"bugfix,dut,e2e,tb",certified,dut,- Form: `dut` - Level: `L1` - Category: PLL Clock and Timing Systems - Base function: Digital phase accumulator with modulo wrap - Domain: `voltage` - Target artifact(s): `phase_accumulator_timer_wrap_ref.va` - Supplied/reference support artifact(s): `tb_phase...,phase_accumulator_timer_wrap_ref,"sim_correct, compile, spectre","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
B Clocking and PLL,P3,vbr1_l1_lock_detector,L1,PLL Clock and Timing Systems,Lock detector,"bugfix,dut,e2e,tb",certified,dut,- Form: `dut` - Level: `L1` - Category: PLL Clock and Timing Systems - Base function: Lock detector - Domain: `voltage` - Target artifact(s): `lock_detector.va` - Supplied/reference support artifact(s): `tb_lock_detector_ref.scs`,lock_detector,"sim_correct, compile","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
B Clocking and PLL,P3,vbr1_l1_pfd_up_dn_logic,L1,PLL Clock and Timing Systems,PFD UP/DN logic,"bugfix,dut,e2e,tb",certified,dut,- Form: `dut` - Level: `L1` - Category: PLL Clock and Timing Systems - Base function: PFD UP/DN logic - Domain: `voltage` - Target artifact(s): `pfd_updn.va` - Supplied/reference support artifact(s): `tb_pfd_reset_race_ref.scs`,pfd_updn,"sim_correct, compile","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
B Clocking and PLL,P3,vbr1_l1_loop_filter_abstraction,L1,PLL Clock and Timing Systems,Sampled loop-filter abstraction,"bugfix,dut,e2e,tb",certified,dut,"- Form: `dut` - Level: `L1` - Category: PLL Clock and Timing Systems - Base function: Sampled loop-filter abstraction - Domain: `voltage` - Target artifact(s): `loop_filter_abstraction.va` - Visible context: public task, interface, artifact, stimulus, and obse...",loop_filter_abstraction,"sim_correct, metric, compile, spectre","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
B Clocking and PLL,P3,vbr1_l1_vco_phase_integrator,L1,PLL Clock and Timing Systems,VCO phase integrator,"bugfix,dut,e2e,tb",certified,dut,- Form: `dut` - Level: `L1` - Category: PLL Clock and Timing Systems - Base function: VCO phase integrator - Domain: `voltage` - Target artifact(s): `vco_phase_integrator.va` - Supplied/reference support artifact(s): `tb_vco_phase_integrator_ref.scs`,vco_phase_integrator,"sim_correct, behavior, compile","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
B Clocking and PLL,P3,vbr1_l1_charge_pump_abstraction,L1,PLL Clock and Timing Systems,Voltage-domain charge-pump control abstraction,"bugfix,dut,e2e,tb",certified,dut,"- Form: `dut` - Level: `L1` - Category: PLL Clock and Timing Systems - Base function: Voltage-domain charge-pump control abstraction - Domain: `voltage` - Target artifact(s): `charge_pump_abstraction.va` - Visible context: public task, interface, artifact, sti...",charge_pump_abstraction,"sim_correct, compile, spectre","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
B Clocking and PLL,P1,vbr1_l2_adpll_lock_ratio_hop_timer_flow,L2,PLL Clock and Timing Systems,ADPLL lock/ratio-hop/timer flow,"e2e,tb",certified,e2e,"- Form: `e2e` - Level: `L2` - Category: PLL Clock and Timing Systems - Base function: ADPLL lock/ratio-hop/timer flow - Domain: `voltage` - Target artifact(s): `adpll_ratio_hop_ref.va`, `tb_adpll_ratio_hop_ref.scs` - Visible context: public task, interface, ar...",adpll_ratio_hop_ref,"sim_correct, compile, spectre",L2 composition task requires manual verification that multiple functions really interact.,"Confirm this is a composed circuit flow, not a renamed L1 kernel or single-module smoke.",review in first two batches; strengthen checker or downgrade claim
B Clocking and PLL,P1,vbr1_l2_cppll_tracking_and_frequency_step_reacquire_flow,L2,PLL Clock and Timing Systems,CPPLL tracking and frequency-step reacquire flow,"e2e,tb",certified,e2e,"- Form: `e2e` - Level: `L2` - Category: PLL Clock and Timing Systems - Base function: CPPLL tracking and frequency-step reacquire flow - Domain: `voltage` - Target artifact(s): `cppll_timer_ref.va`, `ref_step_clk.va`, `tb_cppll_freq_step_reacquire_ref.scs`","cppll_timer_ref, ref_step_clk","sim_correct, compile, spectre",L2 composition task requires manual verification that multiple functions really interact.,"Confirm this is a composed circuit flow, not a renamed L1 kernel or single-module smoke.",review in first two batches; strengthen checker or downgrade claim
J RF and AFE macros,P3,vbr1_l1_lna_gain_compression_macro,L1,RF and AFE Behavioral Macromodels,LNA gain/compression macro,"bugfix,dut,e2e,tb",certified,dut,"- Form: `dut` - Level: `L1` - Category: RF and AFE Behavioral Macromodels - Base function: LNA gain/compression macro - Domain: `voltage` - Target artifact(s): `lna_gain_compression_macro.va` - Visible context: public task, interface, artifact, stimulus, and o...",lna_gain_compression_macro,"sim_correct, compile, spectre","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
J RF and AFE macros,P3,vbr1_l1_limiting_amplifier_frontend,L1,RF and AFE Behavioral Macromodels,Limiting amplifier front-end,"bugfix,dut,e2e,tb",certified,dut,"- Form: `dut` - Level: `L1` - Category: RF and AFE Behavioral Macromodels - Base function: Limiting amplifier front-end - Domain: `voltage` - Target artifact(s): `limiting_amplifier_frontend.va` - Visible context: public task, interface, artifact, stimulus, an...",limiting_amplifier_frontend,"sim_correct, metric, compile, spectre","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
J RF and AFE macros,P3,vbr1_l1_log_rssi_power_detector,L1,RF and AFE Behavioral Macromodels,Log/RSSI power detector,"bugfix,dut,e2e,tb",certified,dut,"- Form: `dut` - Level: `L1` - Category: RF and AFE Behavioral Macromodels - Base function: Log/RSSI power detector - Domain: `voltage` - Target artifact(s): `log_rssi_power_detector.va` - Visible context: public task, interface, artifact, stimulus, and observa...",log_rssi_power_detector,"sim_correct, compile, spectre","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
J RF and AFE macros,P3,vbr1_l1_pa_compression_macro,L1,RF and AFE Behavioral Macromodels,PA compression macro,"bugfix,dut,e2e,tb",certified,dut,"- Form: `dut` - Level: `L1` - Category: RF and AFE Behavioral Macromodels - Base function: PA compression macro - Domain: `voltage` - Target artifact(s): `pa_compression_macro.va` - Visible context: public task, interface, artifact, stimulus, and observable co...",pa_compression_macro,"sim_correct, metric, compile, spectre","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
J RF and AFE macros,P3,vbr1_l1_rf_mixer_downconverter_macro,L1,RF and AFE Behavioral Macromodels,RF mixer/downconverter macro,"bugfix,dut,e2e,tb",certified,dut,"- Form: `dut` - Level: `L1` - Category: RF and AFE Behavioral Macromodels - Base function: RF mixer/downconverter macro - Domain: `voltage` - Target artifact(s): `rf_mixer_downconverter_macro.va` - Visible context: public task, interface, artifact, stimulus, a...",rf_mixer_downconverter_macro,"sim_correct, compile, spectre","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
J RF and AFE macros,P1,vbr1_l2_agc_receiver_leveling_loop,L2,RF and AFE Behavioral Macromodels,AGC receiver leveling loop,"e2e,tb",certified,e2e,"- Form: `e2e` - Level: `L2` - Category: RF and AFE Behavioral Macromodels - Base function: AGC receiver leveling loop - Domain: `voltage` - Target artifact(s): `agc_receiver_leveling_loop.va`, `tb_agc_receiver_leveling_loop.scs`",agc_receiver_leveling_loop,"sim_correct, metric, compile, spectre",L2 composition task requires manual verification that multiple functions really interact.,"Confirm this is a composed circuit flow, not a renamed L1 kernel or single-module smoke.",review in first two batches; strengthen checker or downgrade claim
J RF and AFE macros,P1,vbr1_l2_iq_downconversion_chain,L2,RF and AFE Behavioral Macromodels,I/Q downconversion chain,"e2e,tb",certified,e2e,"- Form: `e2e` - Level: `L2` - Category: RF and AFE Behavioral Macromodels - Base function: I/Q downconversion chain - Domain: `voltage` - Target artifact(s): `iq_downconversion_chain.va`, `tb_iq_downconversion_chain.scs` - Visible context: public task, interfa...",iq_downconversion_chain,"sim_correct, compile, spectre",L2 composition task requires manual verification that multiple functions really interact.,"Confirm this is a composed circuit flow, not a renamed L1 kernel or single-module smoke.",review in first two batches; strengthen checker or downgrade claim
H Sample/hold memory,P3,vbr1_l1_acquisition_limited_sample_and_hold,L1,Sampling and Analog Memory,Acquisition-limited sample-and-hold,"bugfix,dut,e2e,tb",certified,dut,"- Form: `dut` - Level: `L1` - Category: Sampling and Analog Memory - Base function: Acquisition-limited sample-and-hold - Domain: `voltage` - Target artifact(s): `acquisition_limited_sample_hold.va` - Visible context: public task, interface, artifact, stimulus...",acquisition_limited_sample_hold,"sim_correct, metric, compile, spectre","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
H Sample/hold memory,P3,vbr1_l1_aperture_delay_track_and_hold,L1,Sampling and Analog Memory,Aperture-delay track-and-hold,"bugfix,dut,e2e,tb",certified,dut,- Form: `dut` - Level: `L1` - Category: Sampling and Analog Memory - Base function: Aperture-delay track-and-hold - Domain: `voltage` - Target artifact(s): `sample_hold_aperture_ref.va` - Supplied/reference support artifact(s): `tb_sample_hold_aperture_ref.scs...,sample_hold_aperture_ref,"sim_correct, compile","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
H Sample/hold memory,P3,vbr1_l1_clocked_sample_and_hold,L1,Sampling and Analog Memory,Clocked sample-and-hold,"bugfix,dut,e2e,tb",certified,dut,- Form: `dut` - Level: `L1` - Category: Sampling and Analog Memory - Base function: Clocked sample-and-hold - Domain: `voltage` - Target artifact(s): `sample_hold.va` - Supplied/reference support artifact(s): `tb_sample_hold_ref.scs`,sample_hold,"sim_correct, compile, spectre","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
H Sample/hold memory,P3,vbr1_l1_sample_and_hold_with_droop_leakage,L1,Sampling and Analog Memory,Sample-and-hold with droop/leakage,"bugfix,dut,e2e,tb",certified,dut,- Form: `dut` - Level: `L1` - Category: Sampling and Analog Memory - Base function: Sample-and-hold with droop/leakage - Domain: `voltage` - Target artifact(s): `leaky_hold.va` - Supplied/reference support artifact(s): `tb_leaky_hold_ref.scs`,leaky_hold,"sim_correct, compile","No current automated high-risk finding, but every release task still needs human semantic sign-off.","Confirm naming, prompt, checker, and gold describe the same circuit function.",spot-check and sign off after higher-risk batches
H Sample/hold memory,P1,vbr1_l2_converter_front_end,L2,Sampling and Analog Memory,Converter front-end,"e2e,tb",certified,e2e,"- Form: `e2e` - Level: `L2` - Category: Sampling and Analog Memory - Base function: Converter front-end - Domain: `voltage` - Target artifact(s): `sample_hold_droop_ref.va`, `tb_sample_hold_droop_ref.scs` - Visible context: public task, interface, artifact, st...",sample_hold_droop_ref,"sim_correct, compile",L2 composition task requires manual verification that multiple functions really interact.,"Confirm this is a composed circuit flow, not a renamed L1 kernel or single-module smoke.",review in first two batches; strengthen checker or downgrade claim
F Stimulus and sources,P1,vbr1_l1_burst_clock_source,L1,Stimulus and Source Generators,Burst clock source,"dut,e2e,tb",certified,dut,- Form: `dut` - Level: `L1` - Category: Stimulus and Source Generators - Base function: Burst clock source - Domain: `voltage` - Target artifact(s): `clk_burst_gen.va` - Supplied/reference support artifact(s): `tb_clk_burst_gen_ref.scs`,clk_burst_gen,"sim_correct, compile, spectre",content_denominator_excluded_entry/entry: entry remains in the package as traceable material but is excluded from strong content claims,"Review prompt, checker, and gold together and tighten the public observable if the checker is weaker than the task statement.",review in first two batches; strengthen checker or downgrade claim
F Stimulus and sources,P1,vbr1_l1_dither_or_noise_like_deterministic_source,L1,Stimulus and Source Generators,Dither or noise-like deterministic source,"dut,e2e,tb",certified,dut,"- Form: `dut` - Level: `L1` - Category: Stimulus and Source Generators - Base function: Dither or noise-like deterministic source - Domain: `voltage` - Target artifact(s): `noise_gen.va`, `noise_gen_ref.va` - Supplied/reference support artifact(s): `tb_noise_g...",noise_gen,"sim_correct, compile, spectre",content_denominator_excluded_entry/entry: entry remains in the package as traceable material but is excluded from strong content claims,"Review prompt, checker, and gold together and tighten the public observable if the checker is weaker than the task statement.",review in first two batches; strengthen checker or downgrade claim
F Stimulus and sources,P1,vbr1_l1_lfsr_prbs_generator,L1,Stimulus and Source Generators,PRBS stimulus/dither generator,"bugfix,dut,e2e,tb",certified,dut,"- Form: `dut` - Level: `L1` - Category: Stimulus and Source Generators - Base function: PRBS stimulus/dither generator - Domain: `voltage` - Target artifact(s): `prbs7.va`, `prbs7_ref.va` - Supplied/reference support artifact(s): `tb_prbs7_ref.scs`","prbs7, prbs7_ref","sim_correct, compile, spectre",content_denominator_excluded_entry/entry: entry remains in the package as traceable material but is excluded from strong content claims,"Review prompt, checker, and gold together and tighten the public observable if the checker is weaker than the task statement.",review in first two batches; strengthen checker or downgrade claim
F Stimulus and sources,P1,vbr1_l1_ramp_or_step_source,L1,Stimulus and Source Generators,Periodic phase-ramp guard source,"dut,e2e,tb",certified,dut,- Form: `dut` - Level: `L1` - Category: Stimulus and Source Generators - Base function: Periodic phase-ramp guard source - Domain: `voltage` - Target artifact(s): `bound_step_period_guard_ref.va` - Supplied/reference support artifact(s): `tb_bound_step_period_...,bound_step_period_guard_ref,"sim_correct, compile, spectre",content_denominator_excluded_entry/entry: entry remains in the package as traceable material but is excluded from strong content claims,"Review prompt, checker, and gold together and tighten the public observable if the checker is weaker than the task statement.",review in first two batches; strengthen checker or downgrade claim
F Stimulus and sources,P1,vbr1_l1_sine_periodic_voltage_source,L1,Stimulus and Source Generators,Sine/periodic voltage source,"dut,e2e,tb",certified,dut,- Form: `dut` - Level: `L1` - Category: Stimulus and Source Generators - Base function: Sine/periodic voltage source - Domain: `voltage` - Target artifact(s): `multitone.va` - Supplied/reference support artifact(s): `tb_multitone_ref.scs`,multitone,"sim_correct, waveform, compile, spectre",content_denominator_excluded_entry/entry: entry remains in the package as traceable material but is excluded from strong content claims,"Review prompt, checker, and gold together and tighten the public observable if the checker is weaker than the task statement.",review in first two batches; strengthen checker or downgrade claim
F Stimulus and sources,P1,vbr1_l2_programmable_stimulus_sequencer,L2,Stimulus and Source Generators,Programmable stimulus sequencer,"e2e,tb",certified,e2e,"- Form: `e2e` - Level: `L2` - Category: Stimulus and Source Generators - Base function: Programmable stimulus sequencer - Domain: `voltage` - Target artifact(s): `programmable_stimulus_sequencer.va`, `tb_programmable_stimulus_sequencer.scs`",programmable_stimulus_sequencer,"sim_correct, compile, spectre",content_denominator_excluded_entry/entry: entry remains in the package as traceable material but is excluded from strong content claims,"Review prompt, checker, and gold together and tighten the public observable if the checker is weaker than the task statement.",review in first two batches; strengthen checker or downgrade claim
