entry_id,base_id,base_function,category,package_status,source_forms_found,missing_forms,asset_complete_forms,asset_materialized_forms,certification_status,package_task_dir,notes
vbr1_l1_binary_weighted_voltage_dac,simple_binary_voltage_dac_4b,Simple 4-bit binary-coded DAC,Data Converters,current_l1_seed,dut|tb|bugfix|e2e,,dut|tb|bugfix|e2e,dut|tb|bugfix|e2e,not_certified,benchmark-vabench-release-v1/tasks/CT01_data_converters/vbr1_l1_binary_weighted_voltage_dac,release assets copied from source tasks; not scored until certified
vbr1_l1_segmented_dac,segmented_dac,Segmented DAC,Data Converters,current_l1_seed,dut|tb|bugfix|e2e,,dut|tb|bugfix|e2e,dut|tb|bugfix|e2e,not_certified,benchmark-vabench-release-v1/tasks/CT01_data_converters/vbr1_l1_segmented_dac,release assets copied from source tasks; not scored until certified
vbr1_l1_thermometer_code_decoder,thermometer_decoder_guarded,Thermometer-code decoder,Data Converters,current_l1_seed,dut|tb|bugfix|e2e,,dut|tb|bugfix|e2e,dut|tb|bugfix|e2e,not_certified,benchmark-vabench-release-v1/tasks/CT01_data_converters/vbr1_l1_thermometer_code_decoder,release assets copied from source tasks; not scored until certified
vbr1_l1_sar_logic,sar_logic_4b,SAR logic,Data Converters,current_l1_seed,dut|tb|bugfix|e2e,,dut|tb|bugfix|e2e,dut|tb|bugfix|e2e,not_certified,benchmark-vabench-release-v1/tasks/CT01_data_converters/vbr1_l1_sar_logic,release assets copied from source tasks; not scored until certified
vbr1_l1_offset_comparator,offset_comparator,Offset comparator,Comparators and Decision Circuits,current_l1_seed,dut|tb|bugfix|e2e,,dut|tb|bugfix|e2e,dut|tb|bugfix|e2e,not_certified,benchmark-vabench-release-v1/tasks/CT02_comparators_and_decision_circuits/vbr1_l1_offset_comparator,release assets copied from source tasks; not scored until certified
vbr1_l1_strongarm_style_latch_comparator,strongarm_comparator_behavior,StrongARM-style latch comparator,Comparators and Decision Circuits,current_l1_seed,dut|tb|bugfix|e2e,,dut|tb|bugfix|e2e,dut|tb|bugfix|e2e,not_certified,benchmark-vabench-release-v1/tasks/CT02_comparators_and_decision_circuits/vbr1_l1_strongarm_style_latch_comparator,release assets copied from source tasks; not scored until certified
vbr1_l1_vco_phase_integrator,vco_phase_integrator,VCO phase integrator,PLL / Clock / Event Timing,current_l1_seed,dut|tb|e2e,,dut|tb|bugfix|e2e,dut|tb|bugfix|e2e,not_certified,benchmark-vabench-release-v1/tasks/CT05_pll_clock_event_timing/vbr1_l1_vco_phase_integrator,release assets copied from source tasks; not scored until certified; true-bugfix companion generated from existing release gold
vbr1_l1_pfd_up_dn_logic,pfd_reset_race,PFD UP/DN logic,PLL / Clock / Event Timing,current_l1_seed,dut|tb|bugfix|e2e,,dut|tb|bugfix|e2e,dut|tb|bugfix|e2e,not_certified,benchmark-vabench-release-v1/tasks/CT05_pll_clock_event_timing/vbr1_l1_pfd_up_dn_logic,release assets copied from source tasks; not scored until certified
vbr1_l1_clock_divider,resettable_counter_divider,Clock divider,PLL / Clock / Event Timing,current_l1_seed,dut|tb|e2e,,dut|tb|bugfix|e2e,dut|tb|bugfix|e2e,not_certified,benchmark-vabench-release-v1/tasks/CT05_pll_clock_event_timing/vbr1_l1_clock_divider,release assets copied from source tasks; not scored until certified; true-bugfix companion generated from existing release gold
vbr1_l1_lock_detector,lock_detector,Lock detector,PLL / Clock / Event Timing,current_l1_seed,dut|tb|bugfix|e2e,,dut|tb|bugfix|e2e,dut|tb|bugfix|e2e,not_certified,benchmark-vabench-release-v1/tasks/CT05_pll_clock_event_timing/vbr1_l1_lock_detector,release assets copied from source tasks; not scored until certified
vbr1_l1_trim_calibration_controller,cdac_calibration,Trim-voltage generator,"Calibration, DEM, and Control",current_l1_seed,dut|tb|bugfix|e2e,,dut|tb|bugfix|e2e,dut|tb|bugfix|e2e,not_certified,benchmark-vabench-release-v1/tasks/CT07_calibration_dem_and_control/vbr1_l1_trim_calibration_controller,release assets copied from source tasks; not scored until certified
vbr1_l1_gain_trim_controller,gain_trim_controller,Gain trim controller,"Calibration, DEM, and Control",current_l1_seed,dut|tb|bugfix|e2e,,dut|tb|bugfix|e2e,dut|tb|bugfix|e2e,not_certified,benchmark-vabench-release-v1/tasks/CT07_calibration_dem_and_control/vbr1_l1_gain_trim_controller,release assets copied from source tasks; not scored until certified
vbr1_l1_rotating_dem_selector,rotating_element_selector,Rotating DEM selector,"Calibration, DEM, and Control",current_l1_seed,dut|tb|bugfix|e2e,,dut|tb|bugfix|e2e,dut|tb|bugfix|e2e,not_certified,benchmark-vabench-release-v1/tasks/CT07_calibration_dem_and_control/vbr1_l1_rotating_dem_selector,release assets copied from source tasks; not scored until certified
vbr1_l1_windowed_dem_pointer,barrel_pointer_window,Windowed DEM pointer,"Calibration, DEM, and Control",current_l1_seed,dut|tb|bugfix|e2e,,dut|tb|bugfix|e2e,dut|tb|bugfix|e2e,not_certified,benchmark-vabench-release-v1/tasks/CT07_calibration_dem_and_control/vbr1_l1_windowed_dem_pointer,release assets copied from source tasks; not scored until certified
vbr1_l1_element_shuffler,element_shuffler,Element shuffler,"Calibration, DEM, and Control",current_l1_seed,dut|tb|bugfix|e2e,,dut|tb|bugfix|e2e,dut|tb|bugfix|e2e,not_certified,benchmark-vabench-release-v1/tasks/CT07_calibration_dem_and_control/vbr1_l1_element_shuffler,release assets copied from source tasks; not scored until certified
vbr1_l1_edge_detector,edge_detector,Edge detector,Digital and Event-Driven Logic,current_l1_seed,dut|tb|bugfix|e2e,,dut|tb|bugfix|e2e,dut|tb|bugfix|e2e,not_certified,benchmark-vabench-release-v1/tasks/CT06_digital_and_event_driven_logic/vbr1_l1_edge_detector,release assets copied from source tasks; not scored until certified
vbr1_l1_debounce_latch,debounce_latch,Debounce latch,Digital and Event-Driven Logic,current_l1_seed,dut|tb|bugfix|e2e,,dut|tb|bugfix|e2e,dut|tb|bugfix|e2e,not_certified,benchmark-vabench-release-v1/tasks/CT06_digital_and_event_driven_logic/vbr1_l1_debounce_latch,release assets copied from source tasks; not scored until certified
vbr1_l1_one_shot_timer,one_shot_timer,One-shot timer,Digital and Event-Driven Logic,current_l1_seed,dut|tb|bugfix|e2e,,dut|tb|bugfix|e2e,dut|tb|bugfix|e2e,not_certified,benchmark-vabench-release-v1/tasks/CT06_digital_and_event_driven_logic/vbr1_l1_one_shot_timer,release assets copied from source tasks; not scored until certified
vbr1_l1_crossing_metric_writer,file_metric_writer,Crossing metric writer,Measurement and Testbench Instrumentation,current_l1_seed,tb|dut|e2e,,tb|dut|e2e,tb|dut|e2e,not_certified,benchmark-vabench-release-v1/tasks/CT08_measurement_and_testbench_instrumentation/vbr1_l1_crossing_metric_writer,release assets copied from source tasks; not scored until certified
vbr1_l1_settling_time_detector,settling_time_measurement_tb,Settling response measurement helper,Measurement and Testbench Instrumentation,current_l1_seed,tb|e2e,,tb|e2e,tb|e2e,not_certified,benchmark-vabench-release-v1/tasks/CT08_measurement_and_testbench_instrumentation/vbr1_l1_settling_time_detector,release assets copied from source tasks; not scored until certified
vbr1_l1_peak_detector,peak_detector,Peak detector,Measurement and Testbench Instrumentation,current_l1_seed,dut|tb|bugfix|e2e,,dut|tb|bugfix|e2e,dut|tb|bugfix|e2e,not_certified,benchmark-vabench-release-v1/tasks/CT08_measurement_and_testbench_instrumentation/vbr1_l1_peak_detector,release assets copied from source tasks; not scored until certified
vbr1_l1_first_order_lowpass,first_order_lowpass,First-order lowpass,Analog Behavioral Signal Conditioning,current_l1_seed,dut|tb|bugfix|e2e,,dut|tb|bugfix|e2e,dut|tb|bugfix|e2e,not_certified,benchmark-vabench-release-v1/tasks/CT04_analog_behavioral_signal_conditioning/vbr1_l1_first_order_lowpass,release assets copied from source tasks; not scored until certified
vbr1_l1_resettable_integrator,resettable_integrator,Resettable integrator,Analog Behavioral Signal Conditioning,current_l1_seed,dut|tb|bugfix|e2e,,dut|tb|bugfix|e2e,dut|tb|bugfix|e2e,not_certified,benchmark-vabench-release-v1/tasks/CT04_analog_behavioral_signal_conditioning/vbr1_l1_resettable_integrator,release assets copied from source tasks; not scored until certified
vbr1_l1_slew_rate_limiter,slew_rate_limiter,Slew-rate limiter,Analog Behavioral Signal Conditioning,current_l1_seed,dut|tb|bugfix|e2e,,dut|tb|bugfix|e2e,dut|tb|bugfix|e2e,not_certified,benchmark-vabench-release-v1/tasks/CT04_analog_behavioral_signal_conditioning/vbr1_l1_slew_rate_limiter,release assets copied from source tasks; not scored until certified
vbr1_l1_aperture_delay_track_and_hold,track_hold_aperture,Aperture-delay track-and-hold,"Sample, Hold, and Analog Memory",current_l1_seed,dut|tb|bugfix|e2e,,dut|tb|bugfix|e2e,dut|tb|bugfix|e2e,not_certified,benchmark-vabench-release-v1/tasks/CT03_sample_hold_and_analog_memory/vbr1_l1_aperture_delay_track_and_hold,release assets copied from source tasks; not scored until certified
vbr1_l1_sample_and_hold_with_droop_leakage,leaky_hold,Sample-and-hold with droop/leakage,"Sample, Hold, and Analog Memory",current_l1_seed_with_review,dut|tb|bugfix|e2e,,dut|tb|bugfix|e2e,dut|tb|bugfix|e2e,not_certified,benchmark-vabench-release-v1/tasks/CT03_sample_hold_and_analog_memory/vbr1_l1_sample_and_hold_with_droop_leakage,release assets copied from source tasks; not scored until certified
